,C,HW,K,RS
1320,256,128,96,3
1321,256,128,96,5
1322,256,128,96,1
1323,256,128,96,11
1324,256,128,96,7
1325,256,128,6,3
1326,256,128,6,5
1327,256,128,6,1
1328,256,128,6,11
1329,256,128,6,7
1330,256,128,28,3
1331,256,128,28,5
1332,256,128,28,1
1333,256,128,28,11
1334,256,128,28,7
1335,256,128,192,3
1336,256,128,192,5
1337,256,128,192,1
1338,256,128,192,11
1339,256,128,192,7
1340,256,128,9,3
1341,256,128,9,5
1342,256,128,9,1
1343,256,128,9,11
1344,256,128,9,7
1345,256,128,12,3
1346,256,128,12,5
1347,256,128,12,1
1348,256,128,12,11
